,labels,image_path,label_num
0,Chihuahua,./n02085620-Chihuahua/n02085620_10621.jpg,0
1,Chihuahua,./n02085620-Chihuahua/n02085620_10976.jpg,0
2,Chihuahua,./n02085620-Chihuahua/n02085620_11238.jpg,0
3,Chihuahua,./n02085620-Chihuahua/n02085620_11258.jpg,0
4,Chihuahua,./n02085620-Chihuahua/n02085620_11337.jpg,0
5,Chihuahua,./n02085620-Chihuahua/n02085620_1152.jpg,0
6,Chihuahua,./n02085620-Chihuahua/n02085620_11696.jpg,0
7,Chihuahua,./n02085620-Chihuahua/n02085620_11818.jpg,0
8,Chihuahua,./n02085620-Chihuahua/n02085620_11948.jpg,0
9,Chihuahua,./n02085620-Chihuahua/n02085620_1205.jpg,0
10,Chihuahua,./n02085620-Chihuahua/n02085620_12334.jpg,0
11,Chihuahua,./n02085620-Chihuahua/n02085620_1235.jpg,0
12,Chihuahua,./n02085620-Chihuahua/n02085620_1298.jpg,0
13,Chihuahua,./n02085620-Chihuahua/n02085620_13151.jpg,0
14,Chihuahua,./n02085620-Chihuahua/n02085620_1321.jpg,0
15,Chihuahua,./n02085620-Chihuahua/n02085620_13383.jpg,0
16,Chihuahua,./n02085620-Chihuahua/n02085620_1346.jpg,0
17,Chihuahua,./n02085620-Chihuahua/n02085620_14413.jpg,0
18,Chihuahua,./n02085620-Chihuahua/n02085620_14516.jpg,0
19,Chihuahua,./n02085620-Chihuahua/n02085620_1455.jpg,0
20,Chihuahua,./n02085620-Chihuahua/n02085620_1492.jpg,0
21,Chihuahua,./n02085620-Chihuahua/n02085620_1617.jpg,0
22,Chihuahua,./n02085620-Chihuahua/n02085620_1620.jpg,0
23,Chihuahua,./n02085620-Chihuahua/n02085620_1816.jpg,0
24,Chihuahua,./n02085620-Chihuahua/n02085620_1862.jpg,0
25,Chihuahua,./n02085620-Chihuahua/n02085620_199.jpg,0
26,Chihuahua,./n02085620-Chihuahua/n02085620_2208.jpg,0
27,Chihuahua,./n02085620-Chihuahua/n02085620_242.jpg,0
28,Chihuahua,./n02085620-Chihuahua/n02085620_2590.jpg,0
29,Chihuahua,./n02085620-Chihuahua/n02085620_2614.jpg,0
30,Chihuahua,./n02085620-Chihuahua/n02085620_2650.jpg,0
31,Chihuahua,./n02085620-Chihuahua/n02085620_275.jpg,0
